StartDate,ResponseId,Classification,Student_type,WLB_open,Stress_open,Effects_open,RU open,Overall_experience,Additional,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,Race,Race_6_TEXT,Ethnicity,Ethnicity_3_TEXT,Age,
10/11/2023 13:48,R_RIg5dROwEgYJegh,Sophomore,Student Athlete,It is very difficult to balance school and athletics. ,Taking a self care day or time for myself to relax and hang out with my friends ,,,,,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree strongly,Other,Hispanic,Hispanic or Latino/a/x,,19,
10/11/2023 13:46,R_12meGi0QFJmLhvj,Freshman,Student Athlete,I feel that sports take up majority of my time. Sometimes I feel as if Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½m here for a sport rather than school which makes me ,"I use counseling as a resource to manage my stress. Itï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s a good space for me to feel like I donï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t have to get anything done. I can just go in and talk about whatï¿½ï¿½",,,I think itï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s made me feel very stuck in my repetitive day to day life. Sometimes I feel like I donï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t have time to do things that will,,Agree moderately,Neither agree nor disagree,Agree strongly,Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,White,,Not Hispanic or Latino/a/x,,18,
10/11/2023 13:48,R_2eRVlgVZuCRrWo9,Sophomore,Student Athlete,Being a student-athlete it can be difficult to balance academics and athletics while also making time for myself and my social life. Work-life balance can often be hard to achieve but staying organized and finding time-management skills that work for me have been the key to balancing these aspects of my life.,Staying organized everyday and planning out my days ahead of time really help me to minimize stress as much as I can.,,,,,Disagree moderately,Disagree moderately,Agree strongly,Agree a little,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree strongly,Agree a little,Disagree a little,White,,Not Hispanic or Latino/a/x,,19,
10/11/2023 14:57,R_eL3m4INmZ4gs4Y9,Sophomore,Student Athlete,"Okay, I wish there were times I had more time to do everything. Mostly itï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s just hard to find the motivation to get through a week when ",Calling my parents ,"Itï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s hard to find time to eat , and find the energy to get thro",,,,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree a little,Disagree moderately,Disagree a little,Black or African American,,Not Hispanic or Latino/a/x,,19,
10/11/2023 10:26,R_cUt5kfNUOal7jVf,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2023 10:27,R_3D0fm83s7EAFDSG,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2023 10:58,R_3PbFNZgj9dMzVVy,Senior,Student Athlete,Hectic at times and sacrificing a lot of my free time/personal life ,,,,,,,,,,,,,,,,,,,,,
10/11/2023 11:39,R_29aHZvjv4SlPhQt,Sophomore,Neither Employed Student or Student Athlete,,,,,,,,,,,,,,,,,,,,,,
10/11/2023 12:38,R_22y05YJHlS48obc,Sophomore,Student Athlete,Could be balanced out better ,,,,,,,,,,,,,,,,,,,,,
10/11/2023 12:33,R_3lFeZdSDalQ3vq0,Junior,Student Athlete,I feel that is has it ups and downs depending on where I am at in the semester ,A planner ,,,,,,,,,,,,,,,,,,,,
10/11/2023 13:47,R_2wiZDZH3FJwLNCA,Sophomore,Student Athlete,,,,,,,,,,,,,,,,,,,,,,
10/11/2023 13:48,R_0iWhs91Vbvqj409,Junior,Student Athlete,"I can do it, just hard when iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï",getting everything done,"I can never relax or process anything, itï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",no,im missing out a little socially ,nope!,,,,,,,,,,,,,,,,
10/11/2023 23:04,R_CadcHORXpkvfdYd,Sophomore,Neither Employed Student or Student Athlete,,,,,,,,,,,,,,,,,,,,,,
10/8/2023 19:24,R_ymO8NfEXEOacXkZ,Sophomore,Neither Employed Student or Student Athlete,i feel my work-life balance is okay but it can improve ,"study hard, different studying ways and listen to music to help out with the stress",,,its okay ,no,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Black or African American,,Not Hispanic or Latino/a/x,,19,36565
10/8/2023 19:44,R_A1dMkGNK62e6Lwl,Freshman,Neither Employed Student or Student Athlete,I do my best to get everything done,I do things to relax me and get my mind off things.,,,I don't have a job but plan to soon.,,Disagree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree moderately,Disagree a little,Agree moderately,Agree a little,White,,Not Hispanic or Latino/a/x,,18,36541
10/8/2023 22:33,R_p5zk2ZzzhNS3eKZ,Freshman,Employed Student,I feel as though needing to work for financial supports adds on more stress,Speaking with and spending time with loved ones,,,The need to work and do well in classes takes away from feeling like an actual teenager,,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree a little,Agree moderately,Disagree strongly,Agree a little,Disagree strongly,"American Indian or Alaska Native,Black or African American",,Not Hispanic or Latino/a/x,,18,36377
10/9/2023 7:23,R_SJYQ16OhcE8cuml,Freshman,Employed Student,"I have a pretty mundane life so it's quite simple to maintain a balance. However, if I were to do literally one more thing then I'd probably start slipping. ",I just kind of let it linger until I don't feel stressed anymore,,,"I pretty much only work when I go home. That's maybe once a month if not every other month. My work doesn't affect my college experience at all. Now as for school work, I spend most of my day turning in assignments and trying to meet deadlines so I don't spend much time doing anything else unless it's after 10pm.",,Agree a little,Disagree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Black or African American,,Not Hispanic or Latino/a/x,,18,36491
10/9/2023 7:49,R_1FxbFbSagiasG1r,Freshman,Employed Student,i think my work-life balance is good and easy to keep track of,i get all my work done way before is due so i dont have to worry about it ,trying to study for 2 exams i have on the same day,no,it has made me work harder on school so i can have more free time after work, no,Agree a little,Agree a little,Agree a little,Agree moderately,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree a little,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36155
10/9/2023 7:53,R_1r2DvGwChA99Eyh,Freshman,Neither Employed Student or Student Athlete,Not the best.,Fake it till you make it. ,,Going to the library or gym.,Made it more negative for me.,,Agree moderately,Disagree strongly,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree moderately,Agree a little,Disagree strongly,White,,Not Hispanic or Latino/a/x,,19,36564
10/9/2023 8:26,R_1rpNjZvbidKLZAC,Freshman,Neither Employed Student or Student Athlete,Hectic,I like doing art to help calm myself down,,,I don't work too much but sometimes the homework can be stressful,,Agree moderately,Disagree strongly,Agree a little,Agree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree strongly,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,21,36242
10/9/2023 8:52,R_81RoslvtVrZxUuR,Sophomore,Neither Employed Student or Student Athlete,I feel like work/school-life balance is easy to maintain once you figure our the schedule with homework and classes and build around that. ,Taking time for myself and using a planner. ,,,"It has taught me better time management, how what important things come first in school. ",,Agree a little,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,White,,Other,,19,36430
10/9/2023 9:12,R_22DJjTH2mx98hCV,Junior,Neither Employed Student or Student Athlete,"I think that it varies week by week. Some weeks I feel that I lose a lot of sleep trying to fit everything, and other weeks it is really manageable ",I try to plan ahead of time so that I don't end up overwhelmed and stressed on a busy day,it leads to losing sleep a lot,no,"It has led to a lot of stress, but also new time-management strategies and ways of getting things done",no,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree a little,Agree a little,Disagree moderately,Agree a little,Disagree moderately,White,,Not Hispanic or Latino/a/x,,19,36361
10/9/2023 9:51,R_1daB0U1HkZAAEYf,Sophomore,Neither Employed Student or Student Athlete,Ambivalent.,Procrastinating.,,,,,Disagree strongly,Neither agree nor disagree,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,20,36117
10/9/2023 10:23,R_2RXktcirWN9gylB,Freshman,Employed Student,"I think it's taken a while for me to figure it out, and there are still certain instances where I may get extremely stressed, loose sleep or have to sacrifice personal commitments, but overall, I think I'm in a good balancing spot currently. ","Talking to family/close friends, journaling, etc.",I think my main one is just being anxious ,No,It's probably made it a little bit more stressful but not a ton by any means.,,Disagree moderately,Disagree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,Agree a little,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36137
10/9/2023 11:56,R_1mn6tr2cf9rlf3C,Freshman,Neither Employed Student or Student Athlete,"My work-life balance feels pretty average. It isn't too hard to balance but it also isn't too easy to balance, it is right in the middle.","I don't have a strategy yet, I am still searching for one that helps me.",Its just really difficult to stay in each mindset when I'm constantly thinking about the other things I have to do.,"No, there are not.",Its made it pretty difficult to transition.,,Disagree moderately,Agree a little,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Disagree moderately,"Black or African American,White",,Not Hispanic or Latino/a/x,,18,36270
10/9/2023 12:39,R_2Pe6LxAT3YqW2ju,Freshman,Neither Employed Student or Student Athlete,Not a good balance of school work and personal life. One always suffers while the other thrives. ,Sleep,"I'm constantly tired no matter how much sleep I get. Always feeling lazy, no motivation etc.",I use the study spaces in the library and Hemphill to get work done.,"So for I'm still learning how to keep things balanced, but it's been a bit of a struggle.",No,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Agree moderately,Agree a little,Agree a little,Disagree a little,Black or African American,,Other,,18,36176
10/9/2023 12:58,R_110ko0hofowX9c1,Freshman,Employed Student,I think it is a good balance and that I can handle it ,I talk to my mom a lot and try to time manage well so I can be succesfull,I would say serious exams and just maintaining life ,Not really I kind of just stay in my room and study,I think it has showed me what college is really like and what to expect.,Study hard and use more resources than I have ,Agree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Disagree moderately,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36304
10/9/2023 12:55,R_3O20ZJlDt4AwP2R,Freshman,Neither Employed Student or Student Athlete,"
I do not work currently but from previous years I can say that it was hard and I did struggling with giving myself personal time ","I try to get all of my school work done as soon as I receive it so I can have time to go to the gym, go on my phone, and hangout with friends ",I feel always tired from the amount of school work I receive because of the stress that is put on me by my parents and myself. This can make it very hard to find time to even feed myself or just go outside when all I want to do once I am done with school work is lay in bed.,"I don't use traditional help, but I do always go to the gym because it motivates me to do my homework and gives me energy to get on with the rest of my day. ","It hasn't affected me that much yet because I don't have a job right now, but balancing personal life and school does affect me mentally because I feel like I never leave my dorm due to how much work I do. ",I think that education is important and should be taken seriously but the work load on top of trying to be independent from my parents for the first time can be overwhelming. ,Disagree strongly,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree a little,White,,Not Hispanic or Latino/a/x,,18,36316
10/9/2023 13:58,R_3eku4LhFLxWtIo9,Freshman,Student Athlete,"I feel that sometimes I am not able to manage it, and my balance gets all messed up. I just have to take a deep breath and tell myself to calm down and reset and everything turns out to be fine!","My friends, family, and people that are close to me in my life.",,,"Yes, it has made me very stressed and upset at some points. Fall break was a nice break and the stresses went away, but now they are back again.",,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Disagree a little,Disagree a little,White,,Other,White,18,36389
10/9/2023 14:08,R_30l2IYH1Wo4BiBQ,Freshman,Neither Employed Student or Student Athlete,I don't work while I am in school.,"I typically go with the saying ""you only live once"".",The feeling of missing out on things because im not home., I am not sure if this counts but I go to starbucks everyday. Even if iy is just there to study.,not too bad,n/a,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Agree moderately,White,,Prefer not to say,,18,36222
10/9/2023 14:11,R_2Cv3s5u5YjOmuwJ,Freshman,Employed Student,Great,Time Management,N/A,No,no,no,Disagree a little,Disagree moderately,Agree moderately,Disagree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Disagree strongly,Disagree moderately,Disagree strongly,Black or African American,,Not Hispanic or Latino/a/x,,18,36341
10/9/2023 14:38,R_1qUmHiKaKLJOh9U,Freshman,Neither Employed Student or Student Athlete,I try to complete my work while still making time for myself and doing things I like,I try not to pile things on top to the point where I have to much to do and I feel like I have no time to complete them,,,I try studying as much as I can but also make time for the balance to work,,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Neither agree nor disagree,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36607
10/9/2023 14:38,R_2EAFh5fVzzPzcfz,Freshman,Employed Student,I feel fine I only work 2-hours a week. It's my academics that take all my time,I pray and take a lot of breaks.,,,"It hasn't affected it, my academics are what affects me the most in college.",,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Black or African American,,Not Hispanic or Latino/a/x,,18,36247
10/9/2023 15:00,R_1QuyFSzz81SBNyr,Freshman,Neither Employed Student or Student Athlete,Just fine!,I try to hang out with my friends to manage my stress.,,,,,Agree moderately,Neither agree nor disagree,Disagree a little,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,Disagree a little,Disagree strongly,White,,Not Hispanic or Latino/a/x,,18,36468
10/9/2023 14:38,R_u87zdaTyVE11hF7,Freshman,Neither Employed Student or Student Athlete,"Its pretty good, but could use some work. ",Relax and strategize what comes in order. ,,,Hasn't affected it yet. ,Not at this exact moment! ,Disagree strongly,Agree moderately,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36239
10/9/2023 16:08,R_YW7z0MjrE5RIu0V,Freshman,Neither Employed Student or Student Athlete,It's not as hard too manage as in high school,getting my school work done or sleep,N/a,Library study centers,College has been pretty good so far because I've been able ,N/a,Disagree moderately,Neither agree nor disagree,Agree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Disagree moderately,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36414
10/9/2023 16:40,R_YYL9fVfnqBlla9z,Freshman,Student Athlete,"I feel that I am able to manage my work-life balance pretty well. At the same time, it is definitely stressful to manage everything at once.",I go to Morgan's Message meetings. This allows for an outlet for me.,Stress between friends,Morgan's Message,It has caused stress.,No,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,White,,Not Hispanic or Latino/a/x,,18,36118
10/9/2023 16:21,R_2TAytt7oEV7rRJm,Freshman,Student Athlete,It is very overwhelming. ,I hang out with friends or talk to my boyfriend. ,"When I am really stressed, I tend to sleep for way too long or way too little. ",No,It has definitely made my experience a lot more stressful and I feel like I get less sleep these days. ,No,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Disagree moderately,Agree moderately,Neither agree nor disagree,White,,Not Hispanic or Latino/a/x,,18,36396
10/9/2023 17:32,R_22DGGQU6BduREop,Freshman,Neither Employed Student or Student Athlete,I feel as though I manage it a reasonable amount as of now,planning ,I also find sleeping/ relaxing to be difficult when I am stressed,N/A,It has made my college experience somewhat more difficult but it is still enjoyable ,N/a,Disagree moderately,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Disagree a little,Agree a little,White,,Not Hispanic or Latino/a/x,,18,36114
10/9/2023 17:40,R_1NaxSmQWUDic6QY,Freshman,Neither Employed Student or Student Athlete,great,"get my work done in a timely manner
",none,no,none,no,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree moderately,Disagree moderately,White,,Not Hispanic or Latino/a/x,,19,36169
10/9/2023 18:25,R_pcOE9bDP23Z0vrb,Sophomore,Student Athlete,good,Writing down my responsibilities on a note and checking them off as I complete them.,n/a,no,"I am a student athlete so my ""work"" in my work-life balance is extremely stressful and time consuming. ",No,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Disagree a little,White,,Not Hispanic or Latino/a/x,,19,36464
10/9/2023 18:34,R_1LAnfdKowVE9mmo,Freshman,Student Athlete,great,Cry,n/a,no,it has not affected my overall experience,no,Agree moderately,Disagree strongly,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree a little,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36336
10/9/2023 19:53,R_3CK1Q80z5R6TzmA,Freshman,Student Athlete,i feel like it is a struggle sometimes when you have to stay in a get your school work done and your friends are going out. ,meditation and working out ,,,,,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,Prefer not to say,,Prefer not to say,,18,36364
10/9/2023 20:41,R_1q4DUrQbFr7We6w,Sophomore,Employed Student,"At the moment, my work-life balance is all over the place. I try to make time for the people and things I love, but school has started to become more and more demanding that I don't even have time to care for myself.",I try to plan ahead and make time for things. Whether that be a specific time or a timeslot for school and personal life.,,"No, not at the moment.",It has made doing my schoolwork very difficult. It makes me want to give up and find an alternative. I try to at least care for myself and make time with friends occasionally. My health is most important.,No. ,Disagree moderately,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree a little,Disagree moderately,Agree strongly,Black or African American,,Not Hispanic or Latino/a/x,,19 years old,36143
10/9/2023 21:49,R_DdDpLWxKLO5je4p,Freshman,Neither Employed Student or Student Athlete,"i feel like my work-life balance needs major improvements, I often don't complete all of my assignments because I focus more on my personal life.","spending time with friends, family, and doing things like watching tv and playing video games alone.",An additional effect of stress I experience in managing my work-life balance is feeling anxious that I will not be able to complete my degree at Radford because I have not completed all my schoolwork,I use the lounges in Muse Hall with friends to study.,It has made it hard to manage my schoolwork because I have not effectively balanced my school and social life so I often don't leave enough time for schoolwork after doing personal things.,no,Disagree strongly,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Disagree moderately,Disagree a little,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36308
10/10/2023 7:35,R_3ey4smjccYbbDj0,Freshman,Employed Student,I currently have three part time jobs and am also a full-time student. It is difficult to manage both school and work but I manage. I enjoy spending time studying because I've found a major that I love and it's interesting to me but I often give up time with family and friends for studying.,"I try to plan everything out ahead of time and try to manage my time efficiently all the time to give myself time to do assignments, work, and study in my ""free time""",There are no more effects that are prominent enough to mention other than the ones listed above.,n/a,"I feel like the academic side of my college experience has been amazing, most of my professors are great and seem to care about their students and they're willing to give help when needed. I do feel like my social life has been affected by spending all of my time studying when I am not working. ",,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Neither agree nor disagree,Disagree a little,White,,Not Hispanic or Latino/a/x,,18,36121
10/10/2023 8:21,R_29dgv9xd2fA3Rlm,Freshman,Employed Student,I feel like I often slack of when it comes to my academics when I have work or another responsibility.,Therapy,,I haven't used any.,It has made it more stressful but im starting to learn how to balance it. ,,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Neither agree nor disagree,Agree a little,White,,Not Hispanic or Latino/a/x,,19,36426
10/10/2023 8:31,R_7VutSd7wyDumdz3,Freshman,Student Athlete,I balance school and sports pretty well but don't have a lot of time to myself because I am busy majority of the time.,Talking to parents and friends about it.,"Stressed about being perfect in all aspects, academically and athletically, and meeting others' expectations for myself.",Student-athlete study hall at Dedmon Center.,I am stressed a lot but I am enjoying college.,"A lot of times, I struggle with asking for help or resources because I am nervous or uncomfortable.",Neither agree nor disagree,Disagree moderately,Agree moderately,Agree moderately,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree a little,Disagree moderately,Disagree strongly,White,,Not Hispanic or Latino/a/x,,18,36481
10/10/2023 9:34,R_3EBeu4d8jOsNoJw,Freshman,Neither Employed Student or Student Athlete,Now that I am in school and not working a full-time real world job I feel as though I have all the time I need in order to function properly.,I get all my work done as soon as possible so I have lots of free time leftover every week.,,,I am surprised about how easy it is compared to the real world I experienced in my gap years. I feel stable and supported. I have everything I need to succeed in this environment.,,Agree a little,Disagree strongly,Agree moderately,Disagree strongly,Agree strongly,Agree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,White,,Not Hispanic or Latino/a/x,,21,36203
10/10/2023 10:01,R_3iUdSimsgyfJRrK,Junior,Employed Student,It can be overwhelming at times.,Music,N/A,No,I have been away from work because of college,N/A,Agree a little,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Disagree strongly,Agree a little,Disagree moderately,Black or African American,,Not Hispanic or Latino/a/x,,20,36275
10/10/2023 10:45,R_XpnDFU2fGJtoOOJ,Freshman,Neither Employed Student or Student Athlete,I feel like I need to work on how to balance my academic and social life better. ,Don't do all of my classwork in one day.,Exhaustion ,No,Being stressed out ,No,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,"Black or African American,White",,Not Hispanic or Latino/a/x,,18,36374
